url,year,country,crew,crewFatalities,passengers,passengerFatalities,totalFatalities
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504-in-united-kingdom-7/,1920,UK,16,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504-in-united-kingdom-9/,1920,UK,1,0,1,0,0
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504-in-united-kingdom/,1920,UK,1,0,2,0,0
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504k-in-fort-frances/,1920,Canada,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504k-in-joyce-green/,1920,UK,1,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-bleriot-spad-27-in-bekesbourne/,1921,UK,1,0,1,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-bleriot-spad-27-in-dieppe/,1921,France,1,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-breguet-14-in-alicante-2/,1921,Spain,1,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-breguet-14-in-gibraltar-2-killed/,1921,UK,2,2,NaN,0,2
http://www.baaa-acro.com/1921/archives/crash-of-a-breguet-14-in-perpignan-2/,1921,France,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-breguet-14-in-toulouse-2-killed/,1921,France,2,2,NaN,0,2
http://www.baaa-acro.com/1921/archives/crash-of-a-breguet-14-in-valencia-spain-2/,1921,Spain,1,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-bristol-tourer-28-in-australia-2-killed/,1921,Australia,2,2,NaN,0,2
http://www.baaa-acro.com/1921/archives/crash-of-a-caproni-ca-60-in-italy/,1921,Italy,1,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-curtiss-hs-2l-in-fort-mills-nas-manila/,1921,Philippines,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-18-in-united-kingdom/,1921,UK,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-austin/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-cleveland-1-killed-3/,1921,USA,1,1,NaN,0,1
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-crissy-afb/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-croydon/,1921,UK,1,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-dallas/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-eagle-pass-afb/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-edenton/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-elko-1-killed/,1921,USA,1,1,NaN,0,1
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-ellington-afb-3/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-folkestone/,1921,UK,1,1,NaN,0,1
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-fort-bragg-afb/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-fort-sheridan/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-fort-sill-afb-10/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-fort-sill-afb-11/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-fort-sill-afb-12/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-fort-sill-afb-13/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-fort-sill-afb-14/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-fort-sill-afb-15/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-fort-sill-afb-16/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-fort-sill-afb-6/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-fort-sill-afb-7/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-fort-sill-afb-8/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-fort-sill-afb-9/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-hampton-afb/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-hawaii/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-heathsville/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-high-river/,1921,Canada,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-kelly-afb-6/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-langley-afb-2/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-langley-afb-3/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-langley-afb-4/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-langley-afb-5/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-langley-afb-6/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-langley-afb-7/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-langley-afb-8/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-langley-afb-9/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-luke-afb-ford-island-2/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-luke-afb-ford-island/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-macon/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-martinsville/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-michigan/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-minnesota-1-killed/,1921,USA,1,1,NaN,0,1
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-mitchel-afb-1-killed/,1921,USA,1,1,NaN,0,1
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-oceana-nas/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-oklahoma/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-placerville/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-richmond/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-rock-springs-1-killed/,1921,USA,1,1,NaN,0,1
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-san-francisco-1-killed/,1921,USA,1,1,NaN,0,1
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-stockdale/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-united-kingdom/,1921,UK,1,0,1,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-virginia-2/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-virginia-3/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-virginia-4/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-virginia/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-weissenthurm/,1921,Germany,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-4-in-yorktown-nas/,1921,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-6-in-croydon/,1921,UK,1,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-9-in-paris-france-2/,1921,France,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-9-in-rotterdam/,1921,The Netherlands,1,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-de-havilland-dh-9-in-solbjerg/,1921,Denmark,NaN,0,NaN,0,0
http://www.baaa-acro.com/1921/archives/crash-of-a-diversinconnus-in-tarragone/,1921,Spain,1,0,2,0,0
